                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.51112,                0.42412,                0.98032,                 0.8647,                0.88353,                0.91381,                0.74311,                0.72484,                0.57137,                 1.0549,             0.00015234,             0.00015234,             0.00015234
                     83,                0.51508,                0.41236,                0.97376,                0.87073,                 0.8806,                0.91629,                0.75986,                0.71404,                0.57718,                 1.0459,             0.00014473,             0.00014473,             0.00014473
                     84,                0.51784,                0.43632,                0.98145,                0.86692,                0.91496,                0.92891,                0.76787,                0.72919,                0.53099,                 1.0536,             0.00013711,             0.00013711,             0.00013711
                     85,                0.50033,                0.40988,                0.97671,                0.89645,                0.87919,                  0.923,                0.75533,                0.70125,                0.55049,                 1.0367,              0.0001295,              0.0001295,              0.0001295
                     86,                0.52487,                 0.4638,                0.98595,                0.82318,                    0.9,                0.91625,                0.74607,                0.73322,                0.59693,                 1.0691,             0.00012189,             0.00012189,             0.00012189
                     87,                  0.514,                0.47944,                0.98236,                0.84783,                0.92824,                0.93509,                0.75532,                0.74675,                0.55183,                 1.0795,             0.00011427,             0.00011427,             0.00011427
                     88,                0.50934,                0.40674,                0.97536,                0.86268,                0.87119,                 0.9269,                0.76601,                0.71258,                0.56334,                  1.056,             0.00010666,             0.00010666,             0.00010666
                     89,                  0.493,                0.41776,                0.96333,                 0.8894,                0.88687,                0.92236,                0.75635,                0.74804,                0.57478,                 1.0839,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                0.41226,                0.33621,                0.91082,                0.87592,                0.88612,                0.89958,                0.73574,                0.72872,                0.59923,                 1.0792,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                0.40581,                0.32726,                0.91655,                0.88995,                0.87975,                0.90895,                0.74918,                0.69465,                0.58539,                 1.0372,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                0.40377,                0.30515,                 0.9036,                0.89508,                0.89649,                0.91921,                0.76099,                0.70275,                0.56913,                 1.0354,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                0.40965,                0.31562,                0.92985,                0.89453,                0.88758,                0.90452,                0.75281,                0.69309,                0.56975,                 1.0387,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                0.39555,                0.29096,                0.89509,                0.89158,                0.92591,                0.91207,                0.75504,                0.69915,                0.56159,                 1.0598,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                0.39181,                0.32109,                 0.8978,                0.91564,                0.86363,                0.91335,                0.76358,                0.69605,                 0.5514,                   1.06,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                0.37559,                0.27811,                0.89834,                0.86359,                0.90922,                0.91141,                 0.7637,                0.68517,                0.57694,                 1.0385,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                0.37624,                 0.3382,                0.89976,                0.85299,                0.91479,                0.91211,                0.75739,                0.69453,                0.58031,                 1.0546,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                0.40892,                0.28541,                0.93382,                0.87575,                0.89307,                0.91304,                 0.7693,                 0.6948,                0.57347,                 1.0527,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                0.36879,                0.28511,                0.88958,                0.88154,                0.89865,                 0.9155,                0.77422,                0.67985,                0.56668,                 1.0351,             2.2916e-05,             2.2916e-05,             2.2916e-05
